nice_level;full;num_tuples;db_size_mb;it;exec_time;disk_freespace;swap_total_mb;swap_used_mb;swap_free_mb;filter_result_set_elem_num;max_filter_result_set_elem_num;max_hash_table_elem_num;max_final_result_set_elem_num;filter_result_set_size;hash_table_num_elem;final_result_set_size
0;no;8000000;976.5625;2;1474.1310;33873768448;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;no;8000000;976.5625;3;1447.0450;33873559552;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;no;8000000;976.5625;4;1469.6590;33873424384;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;no;8000000;976.5625;5;1461.9890;33873338368;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;no;8000000;976.5625;6;1448.9080;33873227776;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;no;8000000;976.5625;7;1474.3570;33873141760;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;no;8000000;976.5625;8;1472.1740;33873031168;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;no;8000000;976.5625;9;1457.7880;33872920576;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;no;8000000;976.5625;10;1497.7590;33872826368;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;no;8000000;976.5625;11;1462.9610;33872715776;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;no;8000000;976.5625;12;1475.4670;33872556032;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;no;8000000;976.5625;13;1471.9300;33872424960;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;no;8000000;976.5625;14;1466.7910;33872310272;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;no;8000000;976.5625;15;1466.2280;33872216064;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;no;8000000;976.5625;16;1471.3970;33872130048;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;no;8000000;976.5625;17;1462.0850;33872007168;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;no;8000000;976.5625;18;1452.3430;33871917056;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;no;8000000;976.5625;19;1461.8660;33871826944;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;no;8000000;976.5625;20;1463.3330;33871753216;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;no;8000000;976.5625;21;1465.7370;33871671296;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;no;8000000;976.5625;22;1471.5360;33871589376;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;no;8000000;976.5625;23;1464.7150;33871519744;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;no;8000000;976.5625;24;1456.4410;33871396864;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;yes;8000000;976.5625;0;1466.4190;33871286272;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;yes;8000000;976.5625;1;1463.5590;33871196160;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;yes;8000000;976.5625;2;1483.2280;33871106048;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;yes;8000000;976.5625;3;1463.4860;33871044608;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;yes;8000000;976.5625;4;1481.8830;33870897152;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;yes;8000000;976.5625;5;1474.1640;33870712832;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;yes;8000000;976.5625;6;1463.7560;33870667776;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;yes;8000000;976.5625;7;1470.0810;33870602240;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;yes;8000000;976.5625;8;1473.5290;33870508032;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;yes;8000000;976.5625;9;1483.7730;33870483456;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;yes;8000000;976.5625;10;1560.8270;33870434304;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;yes;8000000;976.5625;11;1607.3280;33870344192;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;yes;8000000;976.5625;12;1597.6790;33870241792;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;yes;8000000;976.5625;13;1600.0140;33870168064;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;yes;8000000;976.5625;14;1599.3410;33870106624;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;yes;8000000;976.5625;15;1576.3220;33870061568;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;yes;8000000;976.5625;16;1597.3430;33869971456;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;yes;8000000;976.5625;17;1610.6130;33869828096;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;yes;8000000;976.5625;18;1611.6290;33869729792;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;yes;8000000;976.5625;19;1609.2670;33869643776;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;yes;8000000;976.5625;20;1587.5050;33869643776;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;yes;8000000;976.5625;21;1628.9860;33869643776;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;yes;8000000;976.5625;22;1593.5790;33869643776;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;yes;8000000;976.5625;23;1579.3560;33869643776;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;yes;8000000;976.5625;24;1616.7220;33869643776;0,00;0,00;0,00;800000;880001;968001;880000;800000;800000;800000
0;no;12000000;1464.8438;0;2228.4550;33869606912;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;no;12000000;1464.8438;1;2244.9440;33869606912;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;no;12000000;1464.8438;2;2220.4810;33869606912;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;no;12000000;1464.8438;3;2230.0360;33869606912;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;no;12000000;1464.8438;4;2222.6480;33869598720;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;no;12000000;1464.8438;5;2233.3400;33869598720;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;no;12000000;1464.8438;6;2227.4380;33869598720;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
